Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 240052

a	4236582
aa'do	8331
aa'i	37491
aafi	249945
aafik	29160
aafim	62486
aafin	116641
aafing	16663
aalik	20828
Abaraham	8331
abe'i	8331
Abia	16663
Abihud	8331
Abraham	524886
Adam	62486
ade	345758
Ade	766500
adenu	133304
adenun	37491
adenus	20828
ae	474897
afa'da	583206
afa'dak	29160
afa'dan	62486
afa'das	20828
afaduli	16663
afandele	37491
afofo'a	16663
afu	20828
Agabus	8331
agama	1033109
agaman	8331
Agripa	54154
ahais	12497
ahani	8331
Ahas	8331
ahehele	8331
ahele	54154
ahii	29160
ahiik	79149
ai	799826
aiana	8331
aihu	8331
ainggangek	8331
Ainon	8331
aitete'e	20828
akababasak	16663
akabubua	20828
akabubuna	8331
akadada'dik	8331
akahahaik	8331
akahehe'dik	16663
akahulu	8331
akahuluk	29160
akalala'ok	8331
akamamaek	8331
akamee	12497
akamu	12497
akamumulu	8331
akandoo	37491
akasasamak	16663
akaseti	12497
akatatakak	12497
akatele	12497
aketu	54154
Akhaya	49989
Akhim	8331
akona	8331
Akwila	33326
ala	11018446
ala'di	20828
alai	8331
alaik	8331
alalau	45823
alan	12497
alanseli	12497
alas	16663
ale'di	20828
alea	8331
Aleksander	24994
Aleksandria	16663
alela	20828
alelak	108309
alelesi	8331
Alfa	12497
Alfeus	20828
alina	29160
alo	37491
alos	12497
alosa	20828
alosak	8331
alukosu	70817
ama	149967
Ama	1949577
amadedema	83315
amadedeman	8331
amahe'di	8331
amahele	162464
amahena	133304
amahoko	116641
amak	58320
Amak	366587
amakai	8331
amala'a	8331
amaloloa	12497
amam	95812
Amam	120807
aman	424907
amanasa	37491
amanene	187459
amanenen	8331
amang	24994
Amang	145801
amatua	8331
amatutua	87481
ame'da	54154
ame'dan	29160
ami	4903104
Amin	116641
Aminadab	12497
Amon	8331
ampo	8331
ampon	441570
ana	19933181
anafe'o	41657
anafe'oana	8331
anafe'oanak	29160
anak	395747
anale	16663
anam	12497
anan	837318
anang	41657
Ananias	62486
anatou	8331
andaa	45823
andae	12497
Anderias	54154
anduku	29160
ane	12497
anea	12497
aneas	8331
ango	91646
angol	324929
ani	204122
anin	16663
anoli	70817
anolin	16663
anseli	174962
Antiokia	124972
anuu	66652
ao	1924583
aoina	612367
aoinam	16663
aoinan	12497
aoinana	8331
aoinang	12497
aok	191625
