Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 127133

а	3413747
абдразы	23597
абдраса	31463
Авва	23597
Авель	15731
Авельлэн	23597
Авраам	314631
Авраамез	47194
Авраамен	15731
Авраамлы	133718
Авраамлэн	173047
Авраамлэсь	39328
Агав	15731
агаез	15731
агаезлэсь	23597
агай	1856323
агайзэ	15731
Агриппа	94389
ад	31463
Адам	62926
Адамлэн	23597
адӟе	251704
адӟелэ	15731
адӟем	511275
адӟемды	39328
адӟемдэс	31463
адӟеме	15731
адӟемез	39328
адӟемзы	62926
адӟемзэ	23597
адӟемзэс	23597
адӟеммес	23597
адӟеммы	31463
адӟемпотостэм	212376
адӟемъёс	15731
адӟи	456215
адӟид	94389
адӟиды	110120
адӟиз	503409
адӟизы	251704
адӟимы	141584
адӟисез	15731
адӟись	117986
адӟисьёс	141584
адӟисьёслэн	23597
адӟисьёсы	15731
адӟиське	55060
адӟиськиз	15731
адӟиськизы	15731
адӟиськись	47194
адӟисько	188778
адӟиськод	15731
Адӟиськод	47194
адӟиськоды	102255
адӟиськоз	23597
адӟиськом	15731
адӟиськомы	55060
адӟиськон	15731
адӟиськы	31463
адӟиськыны	31463
адӟисьтэм	15731
адӟо	94389
адӟод	39328
адӟоды	86523
адӟоз	15731
адӟозы	180912
адӟомы	15731
адӟон	110120
адӟонзы	31463
адӟонлы	15731
адӟоно	55060
адӟонтэм	94389
адӟонъёс	31463
адӟы	275302
адӟымтэос	15731
адӟыны	243839
адӟыса	841638
адӟыты	15731
адӟытэк	23597
адлэн	23597
адскисез	15731
адскись	23597
адскисьтэм	39328
адскисьтэмез	15731
адэ	31463
адями	2690096
адямиез	511275
адямиен	15731
адямизэ	15731
адямилы	180912
адямилэн	173047
адямилэсь	78657
адямиос	1227061
адямиослы	416886
адямиослэн	196644
адямиослэсь	267436
адямиоссы	15731
адямиоссэ	62926
адямиосты	291033
адямиосы	15731
адямиосыз	141584
адямиосын	86523
адямиосыныз	15731
азбар	23597
азбараз	15731
азбаре	23597
азбарын	15731
азвесь	102255
азвесьлэсь	23597
азвесьме	15731
азвесьсэ	15731
азе	495544
азон	251704
азыса	503409
азьвыл	747248
азьвылгес	23597
азьвылэз	15731
азьлане	47194
азьлань	39328
азьланьтыса	23597
азьланяз	110120
азьло	228107
азьлогес	47194
азьпал	102255
азьпала	62926
Азьпалады	15731
азьпалаз	39328
