Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 235679

a	3971503
aa	2965898
aadaa	8486
aado	4243
aadootama	4243
Aakara	4243
aakaraunna	4243
aakiaa	33944
aakiaaki	21215
aakiaakidiri	8486
aakiaana	241854
aakiaidaadiri	42430
aakiaivaa	12729
aakiaivaitanaki	4243
aakiaivaitanakidiri	4243
aakiaivaki	653431
aakiaivakiaata	4243
aakiaivakidiri	161236
aakiaivakira	4243
aakiaivo	59402
aakiaivoono	12729
aakiaiyauvaa	12729
aakiaiyauvaara	4243
aakiaiyauvaata	8486
aakiaiyauvaatama	4243
aakiaiyauvaki	420062
aakiaiyauvakiaatama	12729
aakiaiyauvakidiri	55159
aakiaiyauvo	50916
aakiapuaa	38187
aakiapuaivaa	12729
aakiapuaivaatama	4243
aakiapuaivo	21215
aakiapuaivootairavai	4243
aakiapuaiyauvaa	12729
Aakiapuaiyauvaatama	4243
aakiapuaiyauvakiaatama	4243
aakiapuaiyauvo	38187
aakiapuaiyauvootama	4243
aakua	8486
aakuaanoonna	4243
aammiavau	4243
aangangaraiyauvaa	4243
aangeraa	313986
aangeraavoono	4243
aangeraayavee	4243
aangeraivaa	72132
aangeraivaitana	4243
aangeraivo	318229
aangeraivoono	29701
aangeraiya	237611
aangeraiyaano	4243
aangeraiyaata	4243
aangeraiyaatama	38187
aangeraiyaki	4243
aangeraiyara	25458
aangeraiyaraata	4243
aangeraiyauvo	4243
aangeraiyavee	4243
aanii	72132
aaniira	483708
aaniiraida	38187
aaniirainna	4243
Aaniirainno	8486
aaniivaadiri	12729
aaniivaara	59402
aaniivaaraida	8486
aaniivaarainna	4243
aaniivai	114562
aaniivaida	4243
aaniivainnee	4243
aanna	1595390
Aannaata	4243
aannaivaadiri	4243
aannoo	21215
Aaparahaamaa	182451
Aaparahaamaakidiri	4243
Aaparahaamaara	42430
Aaparahaamaaraata	4243
Aaparahaamaata	21215
Aaparahaamaayaadiri	4243
Aaparahaamainna	4243
Aaparahaamainnara	4243
Aaparahaamo	267312
Aaparahaamooya	4243
Aaparahaamovee	8486
aapi	114562
aapidiinno	4243
aapinnaiya	4243
aapu	1073494
aapuuvaa	12729
aapuuvaki	118805
aapuuvakiaata	4243
aapuuvakidiri	297014
aapuuvakinnaa	4243
aapuuvakinnaiyavee	4243
aapuuvau	21215
aapuuvaudiri	4243
aapuuvo	4243
aarareera	12729
