Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 234434

a	3011508
aa	8531
ab	268732
aba	2141327
Abadon	4265
abai	12796
aban	51187
abar	806197
abari	1868329
abataman	8531
abatamanei	21327
abatamen	4265
abau	396700
abaut	12796
Abel	34124
Abiatar	4265
Abilene	4265
Abiut	8531
Abiya	12796
Abraham	494808
Abrahamt	21327
Adam	76780
Adi	8531
Adramitium	4265
ag	1339396
Agabus	12796
aget	4265
agi	42655
agimari	4265
agiom	4265
agiomunor	4265
ago	55452
Agripa	68249
agu	4265
aguni	4265
agunia	12796
aguniar	8531
aguniari	4265
aguniau	17062
agunine	4265
agunomei	4265
agunub	230342
agunuminei	4265
agunumir	4265
agunumirei	34124
agununor	17062
agunuor	4265
Ahas	8531
ai	3357021
aib	6359998
aibet	17062
aibigau	456418
aibigaut	12796
aibsi	4265
aibsiau	4265
aibt	204748
aibtar	4265
aibtarei	4265
Aikoniam	29859
aimot	17062
ain	132233
Ainias	17062
ainmer	4265
Ainon	4265
Aisaia	102374
Aisaiat	4265
Aisak	106639
aisi	12796
aisia	4265
aisiamirei	4265
aisiarar	4265
aisiari	8531
ait	102374
aitap	8531
Akaia	21327
Akaikus	4265
Akeldama	4265
Akim	8531
Akwila	29859
Aleksander	21327
Aleksandria	17062
Alpius	21327
am	4265
amamir	4265
amamiramir	4265
amamirer	12796
amamiriamir	4265
ambuget	4265
ambugeterei	4265
ametis	4265
Ami	4265
Aminadap	17062
amir	98108
amirei	46921
Amos	8531
Ampipolis	4265
Ampliatus	4265
amug	63983
an	10211829
ana	4265
Ana	12796
anamar	251669
Ananaias	68249
Anas	34124
anba	34124
anbaab	8531
anbaiau	8531
anbaibam	4265
anbanamsi	12796
anbanamsia	8531
anbanamsiari	4265
anbanamsier	8531
anbanamsiorubour	4265
anbaub	8531
anbereri	4265
anbererima	4265
anbererimba	4265
anbig	4265
anbigub	8531
anbigubour	4265
anbirogonima	4265
anbirueter	4265
anboopuri	12796
anboopuriamor	4265
anboopurima	4265
anborusiari	4265
anborusieriba	4265
anborusieriner	4265
anbumaimau	4265
anbumaimunorei	4265
andab	42655
andara	21327
andarari	12796
andarau	12796
andarer	4265
andarerei	8531
andarib	17062
andariba	98108
andaribam	17062
andarine	8531
andarinei	8531
andariner	4265
andarubour	12796
andarunei	8531
andarunor	8531
andarunorei	4265
andoroum	8531
Andronikus	4265
