Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 187178

a	4161813
a'a	28678584
a'afolo	5342
a'afoloi	16027
a'afoloia	5342
a'amu	742608
a'ana	3429890
a'apoo	224385
a'aroi	10685
a'aroiaa	5342
a'aroo	80137
a'au	1447819
a'aunudinaa	5342
a'awei	10685
a'egime'ai	5342
a'egime'aiaa	10685
a'egime'aimai	10685
a'u	58767
a'u'uagio	5342
a'u'uana	5342
a'u'uanarai	5342
Aaron	26712
aba	48082
abaa	2366731
Abaddon	10685
abagua	5342
abaguaa	5342
abawe	5342
Abba	16027
Abel	21370
Abiathar	5342
Abijah	16027
Abilene	5342
Abiud	10685
Abraham	459455
Achaia	58767
Achaicus	5342
Acts	58767
ACTS	5342
Adam	53425
Addi	5342
adi	5342
adia	48082
adiaa	112192
adiamii	5342
adiana	101507
adige	5342
adigupenaa	21370
adii	128220
adina	5342
adinaa	5342
Admin	5342
ado'o	85480
ado'omii	5342
ado'oree	5342
Adramyttium	5342
Adriatic	5342
adudu	21370
Aeneas	21370
Aenon	5342
afadugau	5342
afaia	58767
afala	5342
afane	5342
afetoaa	5342
afetodiai	5342
afetoo	58767
afi	5342
afido'o	5342
Afuana	5342
afue	10685
afuedi'ininaa	5342
afuu	5342
Agabus	10685
agi	480825
agi'agi	16027
agi'agia	5342
agi'agiadiai	5342
agi'agiana	16027
agi'agii	5342
agi'opa'ainaa	5342
agia	48082
Agia	197672
agifaa	21370
agifababasuweia	5342
agifai	5342
agifaia	5342
Agifaiaa	5342
agifamatalaia	5342
agifana	5342
agifanima'aiaa	10685
agifawalalonaa	5342
agifawe'i	5342
agifaweloinaa	5342
agifinaa	5342
agifinia	10685
agii	37397
Agii	69452
agimai	5342
agimana	5342
agime	26712
agimee	16027
agimena	5342
agimu	10685
agina	32055
aginaa	5342
agisiminaa	5342
agisiminia	5342
agisuafaa	10685
agisuafia	5342
agiu	21370
Agrippa	69452
agu'aa	16027
agu'agua	5342
agu'agui	5342
agua	96165
aguna	5342
agunadii	5342
agunei	16027
Ahaz	10685
ai	69452
ai'ai	138905
ai'aifawe'i	5342
ai'aifipui	5342
ai'aiga	64110
ai'aigaa	10685
ai'aigia	16027
ai'ainaa	5342
ai'i'igai	5342
aida	2094263
aidadii	219042
aidafarawani	16027
aidafarawanidigia	5342
aidama'a	5342
aifabauana	10685
aifafelo	5342
aigaa	42740
