Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 229562

a	757965
A	949634
A꞉dam	34848
A꞉damta	30492
A꞉damtapo	13068
A꞉damye	4356
A꞉iblaham	396407
A꞉iblahampo	8712
A꞉iblahamta	100190
A꞉iblahamtapo	78410
A꞉iblahamye	47917
a꞉lemama	4356
a꞉lemdena	8712
a꞉lemdepo	4356
a꞉lemha꞉ha꞉	8712
a꞉lemha꞉ha꞉iya	8712
a꞉lemha꞉ha꞉lepe	4356
a꞉lemha꞉ha꞉ma꞉	4356
a꞉lemha꞉ha꞉mama	8712
a꞉lemha꞉ha꞉po	8712
a꞉lemha꞉ha꞉uwaye	4356
a꞉lempopa꞉lati	4356
a꞉lempopa꞉leta	4356
a꞉lempopa꞉ye	4356
a꞉lemyaiyo	4356
a꞉lemyelepe	13068
a꞉lemyemama	21780
a꞉limiya	4356
a꞉liya	4356
a꞉liyo	4356
a꞉lle	30492
a꞉llepe	4356
A꞉lon	21780
a꞉luwa	4356
a꞉ma	487885
a꞉mama	4356
a꞉mhalemama	4356
a꞉pe	74054
a꞉peye	4356
a꞉ya	1280699
a꞉yapo	26136
a꞉yata	100190
a꞉yatapo	121971
a꞉yaye	43561
a꞉yayo	21780
Aba	8712
Abadon	4356
Abilene	4356
abili	8712
Abiya	13068
Abiyatata	4356
Abiyud	8712
abo	13068
adi	52273
Adimin	8712
adinamata꞉	4356
adipalalo	74054
adipalalota꞉	13068
adipalati	967059
Adipalati	7270367
adipamma꞉	4356
adipammama	165532
adipapalati	65341
adipapele	82766
adipapeta꞉	39205
adipapolowe	8712
adipapopa꞉	26136
adipo	322353
adisowa	39205
adisowata	13068
adisowaye	17424
adita	17424
aditapo	47917
adiye	13068
Adlamatiya	4356
adulo	95834
adulotapo	26136
aduloye	4356
Aeniyas	8712
Aeniyasta	8712
Agabus	4356
Agabusyo	4356
Aget	4356
Agilipa	56629
Agilipata	21780
Agilipaye	4356
Ahas	8712
Ainon	4356
aipa꞉ya	169888
aipa꞉yata	21780
aipa꞉yaye	4356
Aisaya	8712
Aisayata	60985
Aisayatapo	26136
Aisek	69697
Aisekpo	8712
Aisekta	8712
Aisektapo	8712
Aisekye	17424
aiyalma	4090398
aiyalmapo	39205
aiyalmata	56629
aiyalmata꞉	4356
aiyalmatapo	8712
aiyalmaye	21780
aiyalmayo	8712
Akaikus	4356
Akaya	65341
