Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 147767

a	81208
ä	2240012
Aarón	27069
abachaag	13534
abachṉaa	101511
abacuaa	13534
abacuaä	33837
Abacuaä	33837
abacuaä́	13534
abadedä	13534
abadeed	40604
abadeedni	33837
abadxajg	33837
abadzucaj	13534
abadzucajni	13534
abagu'trenini	13534
abahuiä	20302
Abahuiä	20302
abahuii	40604
abahuiilu	27069
abahuiini	13534
abahuiinu	13534
abahuiireni	13534
abahuiitu	47371
abahuiloä	13534
abahuiloonu	13534
abaluiä	27069
abaluii	33837
abaluiini	20302
abaluiinu	13534
abaluiloj	27069
abaluuxni	13534
abaluxä	13534
abaniidx	67674
abaniidxlu	13534
abaniidxni	13534
abanijt	33837
abanijtni	20302
abanijtreni	27069
abaṟo'n	27069
abaṟo'nni	13534
abasa'n	13534
abasaan	13534
abasanij	13534
abasguee	13534
abasia	33837
abasiajc	20302
abasiajcni	20302
abasiechlajztu	27069
abasḻaani	13534
abasoob	20302
abasoobtu	13534
abasule'ä	47371
abasule'nu	13534
abatiobnis	13534
abaxhaḻ	27069
abaxhaḻä	27069
Abaxhaḻni	13534
abejn	108278
abejnlu	20302
abejnni	74441
abejnreni	13534
abejntu	13534
abejntuni	27069
abenä	87976
abenle	20302
abia	40604
abia'n	74441
abiääd	87976
abiajb	40604
abiajc	40604
abiajclu	60906
abiäjḻ	27069
abianij	20302
Abías	20302
abidojp	13534
abidoṉ	20302
abidxaa	13534
abidxäjlni	13534
abidxälä	20302
Abidxälnu	13534
abidzujṉ	196254
abidzujṉni	20302
abidzujṉreni	13534
abidzuṉgajxh	33837
abiejn	257161
Abiejnza	27069
Abihuiinu	13534
abire'ch	20302
abirii	54139
abisiedä	13534
abisieed	13534
abiu	47371
Abiud	13534
abixu'ṉ	20302
Abraham	33837
Abram	311300
Aca'ni	13534
acaj	13534
Acaj	13534
acanajn	20302
Acananä	13534
acanibee	13534
Acaya	67674
acayajc	20302
acayu	13534
Acaz	13534
acua	13534
acua'ä	13534
acua'ni	13534
acua'reni	20302
acua'tu	20302
Adán	54139
Adi	13534
Agabo	20302
agac	47371
agajc	20302
Agar	13534
agojl	203022
agojḻ	33837
Agripa	108278
agubaṉsac	27069
agubaṉsacni	81208
agubibdeni	13534
agubicaj	74441
agubigtu	13534
agubijdzni	13534
aguc	13534
agucbeä	33837
agucbee	13534
