Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 233461

A	17133
A'a	38550
Aarón	25700
Abel	34266
Abías	12850
Abihud	8566
abis	21416
abogad	17133
Abraham	612522
Acaya	47117
Adán	81384
Adi	8566
Agabo	8566
Agripa	68533
Ah	8566
Akaz	8566
Akim	8566
al	561121
Alejandría	17133
Alfeo	21416
alkansí	8566
alm	55683
Amén	8566
Aminadab	17133
Amón	8566
Amós	8566
Ananías	68533
Anás	21416
Antioquía	119934
antis	145634
apost	406920
Aquila	29983
Arabia	12850
Aram	17133
Areópago	8566
Arfaxad	8566
Arimatea	17133
Aristarco	17133
arp	8566
Arquipo	8566
Asa	8566
aseit	137067
Aser	8566
Asia	102800
asufr	29983
Atenas	25700
ay	17133
Ay	17133
Azor	8566
ba	1769032
ba'gaka	8566
ba'i	8566
Babilonia	64250
Balaam	25700
Balac	8566
ban	1237894
banal	42833
bank	8566
bar	42833
Barjesús	8566
bark	612522
Barrabás	42833
Barrabáze	8566
barrank	12850
barril	8566
Barsabás	8566
bas	8566
baxtor	29983
be	8596724
be'd	17133
bë'l	59967
be's	218451
bech	8566
bëd	158484
Beelzebú	38550
bei	102800
bël	342669
bële	8566
Belén	38550
ben	775290
benen	8566
Benjamín	17133
bëo	85667
Berea	12850
Berenice	12850
Bernabé	299835
Betania	55683
Betfagé	12850
Betsaida	38550
bi	261285
bi'ch	38550
bi'n	55683
bi'x	8566
bi'y	51400
biani	286985
biban	47117
bicerr	25700
bichao	8566
bichi	59967
bichi'n	17133
bichi'y	12850
bichizhi	128501
bicho	8566
bicho'i	17133
bichon	21416
bichop	8566
Bichubla	8566
bid	55683
bidi'zh	119934
bidi'zhnu	38550
bidr	29983
bien	47117
bika'b	8566
Bika'b	8566
bika'n	12850
Bikan	8566
bikë	17133
Bikë	42833
Bikë'u	8566
Bikënla	12850
biki't	8566
bikina	158484
bikinal	8566
biko	119934
bikwa'n	34266
bikwen	21416
bil	51400
bila	282702
bilao	34266
bilats	81384
bile	681055
bilë	8566
bile'i	25700
biliwen	8566
biliya	12850
biliyak	8566
bilo'x	8566
bilu	89950
bilu'zh	17133
bima	145634
bimbwin	8566
bimë'd	72817
bimiyi	8566
bin	248435
bina'b	119934
Bina'bdi'zh	8566
bine	55683
Bine	55683
Bineo	8566
bineu	8566
Bineu	8566
Bingole	8566
bins	8566
bistid	8566
bit	25700
