Form	Hyphenation

# SPDX-License-Identifier: Unicode-DFS-2016

acara	aca➊ra
adalah	ada➊lah
adanya	ada➊nya
agama	aga➊ma
agenda	agen➊da
Agustus	Agus➊tus
ahli	ah➊li
Airbus	air➊bus
akhirnya	akhir➊nya
akibat	aki➊bat
akibatnya	aki➋bat➊nya
akses	ak➊ses
aksi	ak➊si
aktif	ak➊tif
aktivis	ak➊ti➊vis
aktivitas	ak➊ti➊vi➊tas
alami	ala➊mi
alasan	alas➊an
Alasannya	Alas➊an➊nya
aliansi	ali➊an➊si
alias	ali➊as
aliran	alir➊an
alternatif	al➊ter➊na➊tif
ambang	am➊bang
ambil	am➊bil
amnesti	am➊nes➊ti
anaknya	anak➊nya
analis	ana➊lis
analisa	ana➊li➊sa
ancaman	acam➊an
Anda	An➊da
anggaran	ang➊gar➊an
anggota	ang➊go➊ta
anggotanya	ang➋go➋ta➊nya
angka	ang➊ka
angkasa	ang➊ka➊sa
angkatan	ang➊kat➊an
antar	an➊tar
antara	an➊ta➊ra
antaranya	an➋ta➋ra➊nya
antariksa	an➊ta➊rik➊sa
anti	an➊ti
apabila	apa➊bi➊la
apakah	apa➊kah
apalagi	apa➊la➊gi
apapun	apa➊pun
aparat	apa➊rat
April	Ap➊ril
arti	ar➊ti
artinya	arti➊nya
asasi	asa➊si
asli	as➊li
aspek	as➊pek
asuransi	asu➊ran➊si
ataupun	atau➊pun
atlet	at➊let
atomnya	atom➊nya
aturan	atur➊an
awalnya	awal➊nya
ayahnya	ayah➊nya
babak	ba➊bak
babi	ba➊bi
badai	ba➊dai
badan	ba➊dan
bagaimana	ba➊gai➊ma➊na
bagi	ba➊gi
bagian	ba➋gi➊an
baginya	ba➋gi➊nya
bagus	ba➊gus
bahan	ba➊han
bahasa	ba➊ha➊sa
bahaya	ba➊ha➊ya
bahkan	bah➊kan
bahwa	bah➊wa
baik	ba➊ik
baja	ba➊ja
baju	ba➊ju
bakal	ba➊kal
bakar	ba➊kar
bakteri	bak➊te➊ri
baku	ba➊ku
balapan	ba➋lap➊an
balas	ba➊las
balasan	ba➋las➊an
balik	ba➊lik
bandar	ban➊dar
bandara	ban➊da➊ra
banding	ban➊ding
bangga	bang➊ga
bangkit	bang➊kit
bangsa	bang➊sa
bangunan	bang➋un➊an
banjir	ban➊jir
bantuan	ban➋tu➊an
banyak	ba➊nyak
banyaknya	ba➋nyak➊nya
